route_id,agency_id,route_short_name,route_long_name,route_type,route_desc,route_code
1726,1,32T,YILDIRIM LUNAPARK-HARBİYE/CEVATPAŞA,3,,32T_G_D3886
1727,1,32T,CEVATPAŞA - HARBİYE ASKERİ MÜZE,3,,32T_G_D4588
1728,1,32T,ULUBATLI - HARBİYE,3,,32T_G_D4590
1729,1,32T,CEVATPAŞA - TRT İSTANBUL RADYOSU,3,SAATLER DÖNÜŞTE ÇEVRE YOLUNU KULLANARAK YILDIRIM LUNAPARKA GİDER.,32T_G_D4591
1730,1,32T,YILDIRIM LUNAPARK - HARBİYE ASKERİ MÜZE,3,YILDIRIM LUNAPARK'TAN BAŞLAR.,32T_G_D4592
1731,1,32T,CEVATPAŞA - TARLABAŞI,3,,32T_G_D5715
1732,1,32T,CEVATPAŞA - HARBİYE,3,,32T_G_D5729
1733,1,33,EMİNÖNÜ - GİYİMKENT,3,,33_D_D0
1734,1,33,EMİNÖNÜ - GİYİMKENT,3,,33_D_D5348
1737,1,33,GİYİMKENT - EMİNÖNÜ,3,,33_G_D0
1738,1,33,GİYİMKENT - EMİNÖNÜ,3,,33_G_D5347
1741,1,336,EMİNÖNÜ KANTARCILAR - ARNAVUTKÖY PERONLAR,3,,336_D_D0
1742,1,336,AKSARAY - ARNAVUTKÖY PERONLAR,3,,336_D_D4759
1743,1,336,EMİNÖNÜ KANTARCILAR - ARNAVUTKÖY PERONLAR,3,,336_D_D4788
1744,1,336,EMİNÖNÜ KANTARCILAR - TAŞOLUK PERONLAR,3,TAŞOLUK PERONLAR-EMİNÖNÜ GÜZERGAHINDA HİZMET VERİR.,336_D_D4804
1745,1,336,EMİNÖNÜ KANTARCILAR - ARNAVUTKÖY PERONLAR,3,,336_D_D5513
1746,1,336,EMİNÖNÜ KANTARCILAR - ARNAVUTKÖY PERONLAR,3,,336_D_D5634
1747,1,336,VEZNECİLER - ARNAVUTKÖY PERONLAR,3,,336_D_D7681
1748,1,336,ARNAVUTKÖY PERONLAR - EMİNÖNÜ KANTARCILAR,3,,336_G_D0
1749,1,336,ARNAVUTKÖY PERONLAR - EMİNÖNÜ KANTARCILAR,3,,336_G_D4787
1750,1,336,TAŞOLUK PERONLAR - EMİNÖNÜ KANTARCILAR,3,TAŞOLUK PERONLAR-EMİNÖNÜ GÜZERGAHINDA HİZMET VERİR.,336_G_D4803
1751,1,336,ARNAVUTKÖY PERONLAR - EMİNÖNÜ KANTARCILAR,3,,336_G_D5472
1752,1,336,ARNAVUTKÖY PERONLAR - EMİNÖNÜ KANTARCILAR,3,,336_G_D5633
1753,1,336,ARNAVUTKÖY PERONLAR - EMİNÖNÜ KANTARCILAR,3,,336_G_D7680
1754,1,336A,MESCİD-İ SELAM - BALABAN CAMİİ,3,,336A_D_D0
1755,1,336A,BALABAN CAMİİ - MESCİD - İ SELAM,3,,336A_G_D0
1756,1,336E,EMİNÖNÜ - CEBECİ PERONLAR,3,,336E_D_D0
1757,1,336E,CEBECİ PERONLAR - EMİNÖNÜ,3,,336E_G_D0
